source_layer,source_pos,source_feature,source_type,target_layer,target_pos,target_feature,target_type,original_activation,modified_activation,activation_change,steering_scale,reduction_ratio,target_node_str,steering_nodes_count
0,14,8352,lorsa,1,14,8308,lorsa,1.677754521369934,0.0,-1.677754521369934,0.0,-1.0,"Node(id=2_8308_14, type=lorsa, layer=1, feature=8308, pos=14)",1
0,14,8352,lorsa,2,14,7624,lorsa,4.371225357055664,3.475221633911133,-0.8960037231445312,0.0,-0.20497770074889354,"Node(id=4_7624_14, type=lorsa, layer=2, feature=7624, pos=14)",1
0,14,8352,lorsa,2,14,2057,transcoder,0.5836755037307739,0.49054577946662903,-0.0931297242641449,0.0,-0.1595573630705288,"Node(id=5_2057_14, type=transcoder, layer=2, feature=2057, pos=14)",1
0,14,8352,lorsa,3,21,6050,lorsa,2.002227783203125,1.6222484111785889,-0.37997937202453613,0.0,-0.18977829356490725,"Node(id=6_6050_21, type=lorsa, layer=3, feature=6050, pos=21)",1
0,14,8352,lorsa,3,21,10321,lorsa,1.422263741493225,1.2294408082962036,-0.19282293319702148,0.0,-0.13557466704071214,"Node(id=6_10321_21, type=lorsa, layer=3, feature=10321, pos=21)",1
0,14,8352,lorsa,3,36,13719,lorsa,2.6054978370666504,2.3060271739959717,-0.2994706630706787,0.0,-0.11493798183606707,"Node(id=6_13719_36, type=lorsa, layer=3, feature=13719, pos=36)",1
0,14,8352,lorsa,4,43,1047,lorsa,0.7225236892700195,0.0,-0.7225236892700195,0.0,-1.0,"Node(id=8_1047_43, type=lorsa, layer=4, feature=1047, pos=43)",1
0,14,8352,lorsa,4,21,1734,transcoder,0.24544315040111542,0.20240911841392517,-0.04303403198719025,0.0,-0.17533197368458597,"Node(id=9_1734_21, type=transcoder, layer=4, feature=1734, pos=21)",1
0,14,8352,lorsa,7,18,7077,transcoder,0.5025108456611633,0.44249647855758667,-0.06001436710357666,0.0,-0.11942899864104344,"Node(id=15_7077_18, type=transcoder, layer=7, feature=7077, pos=18)",1
0,14,8352,lorsa,7,36,4806,transcoder,0.21317140758037567,0.0,-0.21317140758037567,0.0,-1.0,"Node(id=15_4806_36, type=transcoder, layer=7, feature=4806, pos=36)",1
0,14,8352,lorsa,14,36,8968,lorsa,0.9133227467536926,0.8183640837669373,-0.09495866298675537,0.0,-0.10397054417430827,"Node(id=28_8968_36, type=lorsa, layer=14, feature=8968, pos=36)",1
0,18,13967,lorsa,0,18,3216,transcoder,1.4331992864608765,0.6992015838623047,-0.7339977025985718,0.0,-0.5121393162364015,"Node(id=1_3216_18, type=transcoder, layer=0, feature=3216, pos=18)",1
0,18,13967,lorsa,0,18,6445,transcoder,0.29803845286369324,0.0,-0.29803845286369324,0.0,-1.0,"Node(id=1_6445_18, type=transcoder, layer=0, feature=6445, pos=18)",1
0,18,13967,lorsa,1,18,7843,transcoder,0.7596932053565979,0.5190937519073486,-0.24059945344924927,0.0,-0.316706075232452,"Node(id=3_7843_18, type=transcoder, layer=1, feature=7843, pos=18)",1
0,18,13967,lorsa,1,18,14853,transcoder,0.5421252250671387,0.281039834022522,-0.2610853910446167,0.0,-0.481596094356766,"Node(id=3_14853_18, type=transcoder, layer=1, feature=14853, pos=18)",1
0,18,13967,lorsa,2,36,7106,lorsa,0.9851575493812561,0.0,-0.9851575493812561,0.0,-1.0,"Node(id=4_7106_36, type=lorsa, layer=2, feature=7106, pos=36)",1
0,18,13967,lorsa,2,36,14549,lorsa,1.2103852033615112,1.0694841146469116,-0.1409010887145996,0.0,-0.11641012160697742,"Node(id=4_14549_36, type=lorsa, layer=2, feature=14549, pos=36)",1
